YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FLAG
2021,5,21,10,2,37,1
2021,5,21,10,7,35,1
2021,5,21,10,12,42,1
2021,5,21,12,37,20,1
2021,5,21,12,43,19,1
2021,5,21,12,48,9,1
2021,5,21,12,53,42,1
2021,5,21,13,2,28,1
2021,5,21,13,7,34,1
2021,5,21,13,12,2,1
2021,5,21,13,18,4,1
2021,5,21,13,23,18,1
2021,5,21,13,28,54,1
2021,5,21,13,33,37,1
2021,5,21,13,38,9,1
2021,5,21,13,44,1,1
2021,5,21,13,48,18,1
2021,5,21,13,53,24,1
2021,5,21,14,18,6,1
2021,5,21,14,28,19,1
2021,5,21,14,34,29,1
2021,5,21,14,54,24,1
2021,5,21,15,2,30,1
2021,5,21,15,7,36,1
2021,5,21,15,13,9,1
2021,5,21,15,17,53,1
2021,5,21,15,22,57,1
2021,5,21,15,28,2,1
2021,5,21,15,33,29,1
2021,5,21,15,37,19,1
2021,5,21,15,43,12,1
2021,5,21,15,48,26,1
2021,5,21,15,53,45,1
2021,5,21,16,2,38,1
2021,5,21,16,7,29,1
2021,5,21,16,33,33,1
2021,5,21,16,38,32,1
2021,5,21,16,43,42,1
2021,5,21,16,49,6,1
2021,5,21,16,54,26,1
2021,5,21,17,3,2,1
2021,5,21,17,7,39,1
2021,5,21,17,12,51,1
2021,5,21,17,17,49,1
2021,5,22,8,27,37,1
2021,5,22,8,32,38,1
2021,5,22,8,38,10,1
2021,5,22,8,43,19,1
2021,5,22,8,48,25,1
2021,5,22,8,53,17,1
2021,5,22,9,2,35,1
2021,5,22,9,7,45,1
2021,5,22,9,12,46,1
2021,5,22,9,17,48,1
2021,5,22,9,22,48,1
2021,5,22,9,27,42,1
2021,5,22,9,33,3,1
2021,5,22,9,38,9,1
2021,5,22,9,42,57,1
2021,5,22,9,53,3,1
2021,5,22,10,2,38,1
2021,5,22,10,8,51,1
2021,5,22,10,13,30,1
2021,5,22,10,18,36,1
2021,5,22,10,23,39,1
2021,5,22,10,28,48,1
2021,5,22,10,33,49,1
2021,5,22,10,39,9,1
2021,5,22,10,43,29,1
2021,5,22,11,2,34,1
2021,5,22,11,12,50,1
2021,5,22,11,17,42,1
2021,5,22,11,22,59,1
2021,5,22,11,27,52,1
2021,5,22,11,33,9,1
2021,5,22,11,38,1,1
2021,5,22,11,43,7,1
2021,5,22,11,48,23,1
2021,5,22,11,53,12,1
2021,5,22,12,2,41,1
2021,5,22,12,7,43,1
2021,5,22,12,12,33,1
2021,5,22,12,17,55,1
2021,5,22,12,22,52,1
2021,5,22,12,27,45,1
2021,5,22,12,33,24,1
2021,5,22,12,36,28,1
2021,5,22,12,43,51,1
2021,5,22,12,48,57,1
2021,5,22,12,54,25,1
2021,5,22,13,3,45,1
2021,5,22,13,8,57,1
2021,5,22,13,14,12,1
2021,5,22,13,18,57,1
2021,5,22,13,24,8,1
2021,5,22,13,29,18,1
2021,5,22,13,33,56,1
2021,5,22,13,38,58,1
2021,5,22,13,44,17,1
2021,5,22,13,49,36,1
2021,5,22,13,54,12,1
2021,5,22,14,2,27,1
2021,5,22,14,8,8,1
2021,5,22,14,12,56,1
2021,5,22,14,16,43,1
2021,5,22,14,23,28,1
2021,5,22,14,28,1,1
2021,5,22,14,44,46,1
2021,5,22,14,51,2,1
2021,5,22,14,55,47,1
2021,5,22,15,3,14,1
2021,5,22,15,8,49,1
2021,5,22,15,13,7,1
2021,5,22,15,17,59,1
2021,5,22,15,21,6,1
2021,5,22,15,30,17,1
2021,5,22,15,35,24,1
2021,5,22,15,40,48,1
2021,5,22,15,45,57,1
2021,5,22,15,51,16,1
2021,5,22,15,55,43,1
2021,5,22,16,2,28,1
2021,5,22,16,25,17,1
2021,5,22,16,30,34,1
2021,5,22,16,56,8,1
2021,5,24,8,28,59,1
2021,5,24,8,34,19,1
2021,5,24,8,39,21,1
2021,5,24,8,44,38,1
2021,5,24,8,50,13,1
2021,5,24,8,54,49,1
2021,5,24,9,2,30,1
2021,5,24,9,23,41,1
2021,5,24,9,28,27,1
2021,5,24,9,38,34,1
2021,5,24,9,48,59,1
2021,5,24,9,54,3,1
2021,5,24,10,2,39,1
2021,5,24,10,8,8,1
2021,5,24,10,13,6,1
2021,5,24,10,17,56,1
2021,5,24,10,22,27,1
2021,5,24,10,28,26,1
2021,5,24,10,33,6,1
2021,5,24,10,38,8,1
2021,5,24,10,43,17,1
2021,5,24,10,48,19,1
2021,5,24,10,53,18,1
2021,5,24,11,3,1,1
2021,5,24,11,8,28,1
2021,5,24,11,12,53,1
2021,5,24,11,18,21,1
2021,5,24,11,23,9,1
2021,5,24,12,3,1,1
2021,5,24,12,7,11,1
2021,5,24,12,12,39,1
2021,5,24,12,17,51,1
2021,5,24,12,22,51,1
2021,5,24,12,28,1,1
2021,5,24,12,33,14,1
2021,5,24,12,37,55,1
2021,5,24,12,43,3,1
2021,5,24,12,47,46,1
2021,5,24,12,53,13,1
2021,5,24,13,2,28,1
2021,5,24,13,7,16,1
2021,5,24,13,13,0,1
2021,5,24,13,18,27,1
2021,5,24,13,23,28,1
2021,5,24,13,29,5,1
2021,5,24,13,34,5,1
2021,5,24,13,38,55,1
2021,5,24,13,44,10,1
2021,5,24,13,49,33,1
2021,5,24,13,54,3,1
2021,5,24,14,2,56,1
2021,5,24,14,7,48,1
2021,5,24,14,13,5,1
2021,5,24,14,18,33,1
2021,5,24,14,23,10,1
2021,5,24,14,28,13,1
2021,5,24,14,32,9,1
2021,5,24,14,45,44,1
2021,5,24,14,51,20,1
2021,5,24,14,55,29,1
2021,5,24,15,2,44,1
2021,5,24,15,7,43,1
2021,5,24,15,12,36,1
2021,5,24,15,18,3,1
2021,5,24,15,23,20,1
2021,5,24,15,28,15,1
2021,5,24,16,44,8,1
2021,5,24,16,54,25,1
2021,5,24,17,2,44,1
2021,5,24,17,7,26,1
2021,5,24,17,14,17,1
2021,5,24,17,19,40,1
2021,5,24,17,24,10,0
2021,5,25,8,26,20,1
2021,5,25,8,31,37,1
2021,5,25,8,37,28,1
2021,5,25,8,42,31,1
2021,5,25,8,47,31,1
2021,5,25,8,53,12,1
2021,5,25,9,8,33,1
2021,5,25,9,12,50,1
2021,5,25,9,19,4,1
2021,5,25,9,23,51,1
2021,5,25,9,37,58,1
2021,5,25,9,41,16,1
2021,5,25,9,51,41,1
2021,5,25,9,56,37,1
2021,5,25,10,2,36,1
2021,5,25,10,7,20,1
2021,5,25,10,16,27,1
2021,5,25,10,20,59,1
2021,5,25,10,25,52,1
2021,5,25,10,30,57,1
2021,5,25,10,36,8,1
2021,5,25,10,41,6,1
2021,5,25,10,46,17,1
2021,5,25,10,51,45,1
2021,5,25,10,56,20,1
2021,5,25,11,2,31,1
2021,5,25,11,7,41,1
2021,5,25,11,12,29,1
2021,5,25,11,17,28,1
2021,5,25,11,22,36,1
2021,5,25,11,27,41,1
2021,5,25,11,32,55,1
2021,5,25,11,37,49,1
2021,5,25,11,43,10,1
2021,5,25,11,47,48,1
2021,5,25,11,53,30,1
2021,5,25,12,2,48,1
2021,5,25,13,29,28,1
2021,5,25,13,34,38,1
2021,5,25,13,49,36,1
2021,5,25,14,12,33,1
2021,5,25,14,17,41,1
2021,5,25,14,23,1,1
2021,5,25,14,28,8,1
2021,5,25,14,33,23,1
2021,5,25,14,43,28,1
2021,5,25,14,53,54,1
2021,5,25,15,7,35,1
2021,5,25,15,32,59,1
2021,5,25,15,43,16,1
2021,5,25,15,53,36,1
2021,5,25,16,2,40,1
2021,5,25,16,31,39,1
2021,5,25,16,36,56,1
2021,5,25,16,41,48,1
2021,5,25,16,47,12,1
2021,5,25,16,51,59,1
2021,5,25,16,56,59,1
2021,5,25,17,2,42,1
2021,5,25,17,6,51,1
2021,5,27,9,7,39,1
2021,5,27,9,43,32,1
2021,5,27,9,48,26,1
2021,5,27,9,53,32,1
2021,5,27,10,2,41,1
2021,5,27,10,7,42,1
2021,5,27,10,12,50,1
2021,5,27,10,17,51,1
2021,5,27,10,22,52,1
2021,5,27,10,27,55,1
2021,5,27,10,32,54,1
2021,5,27,10,38,21,1
2021,5,27,10,43,25,1
2021,5,27,10,48,26,1
2021,5,27,10,53,26,1
2021,5,27,11,2,46,1
2021,5,27,11,7,34,1
2021,5,27,11,12,58,1
2021,5,27,11,17,56,1
2021,5,27,11,22,53,1
2021,5,27,11,27,59,1
2021,5,27,11,33,6,1
2021,5,27,11,37,55,1
2021,5,27,11,43,21,1
2021,5,27,11,48,6,1
2021,5,27,11,53,26,1
2021,5,27,12,2,38,1
2021,5,27,12,7,38,1
2021,5,27,12,12,39,1
2021,5,27,12,17,45,1
2021,5,27,12,22,52,1
2021,5,27,12,27,51,1
2021,5,27,12,32,52,1
2021,5,27,12,38,2,1
2021,5,27,12,43,2,1
2021,5,27,12,48,0,1
2021,5,27,12,53,6,1
2021,5,27,13,2,34,1
2021,5,27,13,7,33,1
2021,5,27,13,12,29,1
2021,5,27,13,17,14,1
2021,5,27,13,22,48,1
2021,5,27,13,32,37,1
2021,5,27,13,37,48,1
2021,5,27,13,42,47,1
2021,5,27,13,48,13,1
2021,5,27,13,53,18,1
2021,5,27,14,2,40,1
2021,5,27,14,6,38,1
2021,5,27,14,12,54,1
2021,5,27,14,18,10,1
2021,5,27,14,28,26,1
2021,5,27,14,33,17,1
2021,5,27,14,38,47,1
2021,5,27,14,43,47,1
2021,5,27,14,48,53,1
2021,5,27,14,53,50,1
2021,5,27,15,3,45,1
2021,5,27,15,8,15,1
2021,5,27,15,13,33,1
2021,5,27,15,18,39,1
2021,5,27,15,24,2,1
2021,5,27,15,28,25,1
2021,5,27,15,35,11,1
2021,5,27,15,39,21,1
2021,5,27,15,50,39,1
2021,5,27,15,55,28,1
2021,5,27,16,7,49,1
2021,5,27,16,13,8,1
2021,5,27,16,22,53,1
2021,5,27,16,28,3,1
2021,5,27,16,33,4,1
2021,5,27,16,42,50,1
2021,5,27,16,49,10,1
2021,5,27,16,54,11,1
2021,5,27,17,2,36,1
2021,5,27,17,13,18,1
2021,5,27,17,18,22,1
2021,5,27,17,23,11,1
2021,5,28,8,24,17,1
2021,5,28,8,29,34,1
2021,5,28,8,35,10,1
2021,5,28,8,40,6,1
2021,5,28,8,45,5,1
2021,5,28,8,48,42,1
2021,5,28,8,54,41,1
2021,5,28,9,2,46,1
2021,5,28,9,6,12,1
2021,5,28,9,15,1,1
2021,5,28,9,19,31,1
2021,5,28,9,24,18,1
2021,5,28,9,29,32,1
2021,5,28,9,34,23,1
2021,5,28,9,39,21,1
2021,5,28,9,44,42,1
2021,5,28,9,49,41,1
2021,5,28,9,54,35,1
2021,5,28,10,2,23,1
2021,5,28,10,7,53,1
2021,5,28,10,12,31,1
2021,5,28,10,20,24,1
2021,5,28,10,26,6,1
2021,5,28,10,30,51,1
2021,5,28,10,35,56,1
2021,5,28,10,41,38,1
2021,5,28,10,46,24,1
2021,5,28,10,52,5,1
2021,5,28,10,56,34,1
2021,5,28,11,3,26,1
2021,5,28,11,8,44,1
2021,5,28,11,13,7,1
2021,5,28,11,18,29,1
2021,5,28,11,23,31,1
2021,5,28,11,28,58,1
2021,5,28,11,33,39,1
2021,5,28,11,38,37,1
2021,5,28,11,44,7,1
2021,5,28,11,48,49,1
2021,5,28,11,53,45,1
2021,5,28,12,2,33,1
2021,5,28,12,7,42,1
2021,5,28,12,12,34,1
2021,5,28,12,17,33,1
2021,5,28,12,22,50,1
2021,5,28,12,27,45,1
2021,5,28,12,32,58,1
2021,5,28,12,37,46,1
2021,5,28,12,44,6,1
2021,5,28,12,49,10,1
2021,5,28,12,54,12,1
2021,5,28,13,2,35,1
2021,5,28,13,7,20,1
2021,5,28,13,12,46,1
2021,5,28,13,17,50,1
2021,5,28,13,27,52,1
2021,5,28,13,33,14,1
2021,5,28,13,37,40,0
2021,5,28,13,43,9,1
2021,5,28,13,48,12,1
2021,5,28,13,53,37,1
2021,5,28,14,3,9,1
2021,5,28,14,7,56,1
2021,5,28,14,13,23,1
2021,5,28,14,23,34,1
2021,5,28,14,28,39,1
2021,5,28,14,33,35,1
2021,5,28,14,38,42,1
2021,5,28,14,43,39,1
2021,5,28,14,48,23,1
2021,5,28,14,55,20,1
2021,5,28,15,3,5,1
2021,5,28,15,7,21,0
2021,5,28,15,13,8,1
2021,5,28,15,18,9,1
2021,5,28,15,23,8,1
2021,5,28,15,28,8,1
2021,5,28,15,33,6,1
2021,5,28,15,38,12,1
2021,5,28,15,43,22,1
2021,5,28,15,48,24,1
2021,5,28,16,15,33,1
2021,5,28,16,25,52,1
2021,5,29,10,12,25,1
2021,5,29,10,20,27,1
2021,5,29,10,30,19,1
2021,5,29,10,36,8,1
2021,5,29,10,40,14,1
2021,5,29,10,47,34,1
2021,5,29,10,52,48,1
2021,5,29,11,7,40,1
2021,5,29,11,12,33,1
2021,5,29,11,17,24,1
2021,5,29,11,22,18,1
2021,5,29,11,27,31,1
2021,5,29,11,32,22,1
2021,5,29,11,37,31,1
2021,5,29,11,42,37,1
2021,5,29,11,47,46,1
2021,5,29,11,53,0,1
2021,5,29,12,2,34,1
2021,5,29,12,7,11,1
2021,5,29,12,12,27,1
2021,5,29,12,17,2,1
2021,5,29,12,22,40,1
2021,5,29,12,27,28,1
2021,5,29,12,32,37,1
2021,5,29,12,37,54,1
2021,5,29,12,42,53,1
2021,5,30,9,3,24,1
2021,5,30,9,36,33,0
2021,5,30,10,13,46,0
2021,5,30,10,18,7,1
2021,5,30,10,23,13,1
2021,5,30,10,36,46,1
2021,5,30,15,22,16,1
2021,5,30,15,27,47,1
2021,5,30,15,32,25,1
2021,5,30,15,38,6,1
2021,5,30,15,48,7,1
2021,5,30,15,53,51,1
2021,5,30,16,4,49,1
2021,5,30,16,9,5,1
2021,5,30,16,13,45,1
2021,5,30,16,19,11,1
2021,5,30,16,24,23,1
2021,5,30,16,35,9,1
2021,5,30,16,39,39,1
2021,5,30,16,44,51,1
2021,5,30,16,50,33,1
2021,5,30,16,55,12,1
2021,5,30,17,2,19,1
2021,5,30,17,7,49,1
2021,5,31,11,6,53,1
2021,5,31,11,11,16,1
2021,5,31,11,16,20,1
2021,5,31,11,21,45,1
2021,5,31,11,26,41,1
2021,5,31,11,31,39,1
2021,5,31,11,36,46,1
2021,5,31,11,41,52,1
2021,5,31,11,46,56,1
2021,5,31,11,52,2,1
2021,5,31,11,57,3,1
2021,5,31,12,2,11,1
2021,5,31,12,7,51,1
2021,5,31,12,12,39,1
2021,5,31,12,17,30,1
2021,5,31,12,22,51,1
2021,5,31,12,27,51,1
2021,5,31,12,33,1,1
2021,5,31,12,38,9,1
2021,5,31,12,43,15,1
2021,5,31,12,48,24,1
2021,5,31,12,53,27,1
2021,5,31,13,2,30,1
2021,5,31,13,7,42,1
2021,5,31,13,12,34,1
2021,5,31,13,17,38,1
2021,5,31,13,22,45,1
2021,5,31,13,27,55,1
2021,5,31,13,32,54,1
2021,5,31,13,38,5,1
2021,5,31,13,43,8,1
2021,5,31,13,48,15,1
2021,5,31,13,53,16,1
2021,5,31,14,4,2,1
2021,5,31,14,8,56,1
2021,5,31,14,13,43,1
2021,5,31,14,19,2,1
2021,5,31,14,24,17,1
2021,5,31,14,29,10,1
2021,5,31,14,34,23,1
2021,5,31,14,39,25,1
2021,5,31,14,44,30,1
2021,5,31,14,49,40,1
2021,5,31,14,54,39,1
2021,5,31,15,2,26,1
2021,5,31,15,7,33,1
2021,5,31,15,12,39,1
2021,5,31,15,17,34,1
2021,5,31,15,22,40,1
2021,5,31,15,27,44,1
2021,5,31,15,32,48,1
2021,5,31,15,37,47,1
2021,5,31,15,45,1,1
2021,5,31,15,50,2,1
2021,5,31,15,54,58,1
2021,5,31,16,2,47,1
2021,5,31,16,7,22,1
2021,5,31,16,12,57,1
2021,5,31,16,18,14,1
2021,5,31,16,23,14,1
2021,5,31,16,28,2,1
2021,5,31,16,33,14,1
2021,5,31,16,37,54,1
